INNOSPECTRA_NIR,ARCOPTIX_NIR,WASATCH_NIR,WASATCH_VISNIR
,1336.18,,642.51
,1336.9,,642.84
,1337.61,,643.17
,1338.33,,643.5
,1339.05,,643.83
,1339.76,,644.16
,1340.48,,644.49
,1341.2,,644.81
,1341.92,,645.14
,1342.64,,645.47
,1343.36,,645.8
,1344.09,,646.13
,1344.81,,646.46
,1345.53,,646.79
,1346.26,,647.12
,1346.98,,647.44
,1347.71,,647.77
,1348.44,,648.1
,1349.16,,648.43
,1349.89,,648.76
,1350.62,,649.09
,1351.35,,649.42
,1352.08,,649.74
,1352.81,,650.07
,1353.55,,650.4
,1354.28,,650.73
,1355.01,,651.06
,1355.75,,651.39
,1356.48,,651.71
,1357.22,,652.04
,1357.96,,652.37
,1358.7,,652.7
,1359.43,,653.03
,1360.17,,653.36
,1360.91,,653.68
,1361.66,,654.01
,1362.4,,654.34
,1363.14,,654.67
,1363.88,,655.0
,1364.63,,655.33
,1365.37,,655.65
,1366.12,,655.98
,1366.87,,656.31
,1367.61,,656.64
,1368.36,,656.97
,1369.11,,657.29
,1369.86,,657.62
,1370.61,,657.95
,1371.37,,658.28
,1372.12,,658.61
,1372.87,,658.94
,1373.63,,659.26
,1374.38,,659.59
,1375.14,,659.92
,1375.89,,660.25
,1376.65,,660.57
,1377.41,,660.9
,1378.17,,661.23
,1378.93,,661.56
,1379.69,,661.89
,1380.45,,662.21
,1381.22,,662.54
,1381.98,,662.87
,1382.74,,663.2
,1383.51,,663.53
,1384.27,,663.85
,1385.04,,664.18
,1385.81,,664.51
,1386.58,,664.84
,1387.35,,665.16
,1388.12,,665.49
,1388.89,,665.82
,1389.66,,666.15
,1390.43,,666.47
,1391.21,,666.8
,1391.98,,667.13
,1392.76,,667.46
,1393.53,,667.78
,1394.31,,668.11
,1395.09,,668.44
,1395.87,,668.77
,1396.65,,669.09
,1397.43,,669.42
,1398.21,,669.75
,1398.99,,670.08
,1399.78,,670.4
,1400.56,,670.73
,1401.35,,671.06
,1402.13,,671.39
,1402.92,,671.71
,1403.71,,672.04
,1404.49,,672.37
,1405.28,,672.7
,1406.07,,673.02
,1406.87,,673.35
,1407.66,,673.68
